epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,481.042,0.95595,0.76899,0.00868,0.91778,0.73023,0.86514,0.71736,0.59712,0.67182,0.00538,0.0213087,0.0071029,0.0213087,0.0071029,0.0213087,0.0071029,0.0213087,0.0071029
31,493.568,0.96289,0.82548,0.00855,0.94294,0.74699,0.88043,0.75312,0.54738,0.60497,0.00481,0.021009,0.007003,0.021009,0.007003,0.021009,0.007003,0.021009,0.007003
32,505.626,0.95959,0.76634,0.00845,0.8529,0.7817,0.88062,0.75753,0.51746,0.64973,0.00452,0.0207093,0.0069031,0.0207093,0.0069031,0.0207093,0.0069031,0.0207093,0.0069031
33,518.736,0.96298,0.80272,0.00862,0.90301,0.77847,0.88045,0.74578,0.5988,0.62876,0.00502,0.0204096,0.0068032,0.0204096,0.0068032,0.0204096,0.0068032,0.0204096,0.0068032
34,531.699,0.97597,0.81601,0.00901,0.91118,0.76844,0.88609,0.74112,0.55093,0.61883,0.00471,0.0201099,0.0067033,0.0201099,0.0067033,0.0201099,0.0067033,0.0201099,0.0067033
35,544.786,0.92827,0.7732,0.00841,0.88045,0.75195,0.85765,0.72091,0.64894,0.63,0.0056,0.0198102,0.0066034,0.0198102,0.0066034,0.0198102,0.0066034,0.0198102,0.0066034
36,557.912,0.93813,0.77476,0.00835,0.92123,0.7284,0.82471,0.59411,0.94357,0.67046,0.00844,0.0195105,0.0065035,0.0195105,0.0065035,0.0195105,0.0065035,0.0195105,0.0065035
37,570.49,0.99839,0.80138,0.00908,0.91965,0.72686,0.83648,0.63384,0.79617,0.6107,0.00718,0.0192108,0.0064036,0.0192108,0.0064036,0.0192108,0.0064036,0.0192108,0.0064036
38,582.281,0.9118,0.77173,0.00831,0.93836,0.73162,0.85286,0.72068,0.5419,0.63877,0.00471,0.0189111,0.0063037,0.0189111,0.0063037,0.0189111,0.0063037,0.0189111,0.0063037
39,594.966,0.9398,0.74475,0.00839,0.97014,0.72679,0.81821,0.68451,0.68664,0.66017,0.00592,0.0186114,0.0062038,0.0186114,0.0062038,0.0186114,0.0062038,0.0186114,0.0062038
40,608.144,0.93262,0.75854,0.00834,0.9335,0.73935,0.85789,0.75076,0.5238,0.69582,0.00444,0.0183117,0.0061039,0.0183117,0.0061039,0.0183117,0.0061039,0.0183117,0.0061039
41,621.211,0.92638,0.74066,0.00801,0.94566,0.72517,0.87031,0.76269,0.50075,0.64569,0.00433,0.018012,0.006004,0.018012,0.006004,0.018012,0.006004,0.018012,0.006004
42,634.435,0.89277,0.74319,0.00774,0.92666,0.74625,0.87252,0.75699,0.56146,0.64689,0.00467,0.0177123,0.0059041,0.0177123,0.0059041,0.0177123,0.0059041,0.0177123,0.0059041
43,646.882,0.89199,0.70563,0.00799,0.94549,0.77521,0.90504,0.78714,0.54401,0.52998,0.00466,0.0174126,0.0058042,0.0174126,0.0058042,0.0174126,0.0058042,0.0174126,0.0058042
44,658.753,0.92119,0.7096,0.00818,0.9261,0.78236,0.89803,0.75676,0.578,0.61511,0.00501,0.0171129,0.0057043,0.0171129,0.0057043,0.0171129,0.0057043,0.0171129,0.0057043
45,671.095,0.91406,0.72231,0.00789,0.87681,0.78794,0.8853,0.73536,0.64269,0.66262,0.00575,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044
46,683.954,0.90924,0.71603,0.00806,0.89535,0.81148,0.91146,0.78782,0.51829,0.58912,0.00454,0.0165135,0.0055045,0.0165135,0.0055045,0.0165135,0.0055045,0.0165135,0.0055045
47,696.848,0.9036,0.69139,0.00814,0.96076,0.73139,0.85938,0.70508,0.72338,0.73068,0.00636,0.0162138,0.0054046,0.0162138,0.0054046,0.0162138,0.0054046,0.0162138,0.0054046
48,709.808,0.9115,0.67927,0.00826,0.94911,0.7491,0.86926,0.75037,0.6075,0.7361,0.00522,0.0159141,0.0053047,0.0159141,0.0053047,0.0159141,0.0053047,0.0159141,0.0053047
49,722.581,0.88345,0.69588,0.00783,0.92252,0.78094,0.8821,0.76167,0.55789,0.55922,0.00478,0.0156144,0.0052048,0.0156144,0.0052048,0.0156144,0.0052048,0.0156144,0.0052048
50,734.529,0.89189,0.71355,0.00815,0.95654,0.77148,0.88331,0.77703,0.47062,0.56006,0.00407,0.0153147,0.0051049,0.0153147,0.0051049,0.0153147,0.0051049,0.0153147,0.0051049
51,747.788,0.86362,0.66554,0.00779,0.95132,0.77204,0.88128,0.769,0.50907,0.6463,0.00436,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005
52,761.665,0.92178,0.69355,0.00849,0.94692,0.75884,0.87343,0.76338,0.53301,0.67615,0.00453,0.0147153,0.0049051,0.0147153,0.0049051,0.0147153,0.0049051,0.0147153,0.0049051
53,774.917,0.8971,0.69396,0.00825,0.88248,0.7634,0.85011,0.71962,0.6192,0.66013,0.00528,0.0144156,0.0048052,0.0144156,0.0048052,0.0144156,0.0048052,0.0144156,0.0048052
54,787.805,0.87702,0.66882,0.00814,0.93063,0.76631,0.87979,0.7446,0.6811,0.63559,0.00599,0.0141159,0.0047053,0.0141159,0.0047053,0.0141159,0.0047053,0.0141159,0.0047053
